Gene	sgRNA	eff	T0_mu	D7_mu	PSU_mu	PSL_mu	T0_k	D7_k	PSU_k	PSL_k	loglikelihood
CRB2	CRB2_+_126118497.23-P1	1	1525.0	1617.0	1.0	2.0	1101.8491720323282	621.5494817531464	359.99676132463145	201.23864095776125	-1.498226046973078	-2.15511783730821	-2.0748098315054944	-1.721151205819717
CRB2	CRB2_-_126131078.23-P2	1	979.0	2.0	1121.0	1.0	1104.8587210251535	623.2471584082472	360.9800428099427	201.78829654092505	-1.183595359184812	-2.0926422133858305	-2.4001570644834036	-1.8684292405117615
CRB2	CRB2_-_126118542.23-P1	1	3100.0	5878.0	2190.0	5965.0	13220.10826647003	7457.4194457023705	4319.280969746527	2414.483477762996	-0.7580331605470751	-1.1175702293438052	-0.9000814374985543	-2.087832986008975
CRB2	CRB2_-_126131448.23-P2	1	541.0	2.0	1569.0	2.0	1339.4417295259918	755.574659360902	437.62313105252525	244.63187896647557	-0.8063170325612435	-2.153489805621	-2.6249082609368717	-1.7743795862887066
CRB2	CRB2_-_126118533.23-P1	1	2397.0	5857.0	2955.0	5.0	5463.1994500239625	3081.7727807639	1784.939498435663	997.7834176488843	-0.8397484076196721	-1.7917140620903125	-1.6571429038622858	-1.987577494647463
CRB2	CRB2_+_126118537.23-P1	1	1097.0	1964.0	3.0	1410.0	3076.5432200361515	1735.4678775839948	1005.1698756967188	561.8912208337393	-0.7630352166409332	-1.3471926205980729	-2.1337317534710296	-2.107571641004303
CRB2	CRB2_+_126118494.23-P1	1	1301.0	8.0	1193.0	3899.0	6577.802575596691	3710.5167256201207	2149.103238404168	1201.3514048932855	-0.8120206808534204	-2.282452748569733	-0.9401485862404124	-2.4642489785140214
CRB2	CRB2_-_126131081.23-P2	1	2000.0	4087.0	1372.0	2063.0	6184.673584496828	3488.7539590977635	2020.6599204156166	1129.5514290906867	-0.7298110913821308	-1.3721811243658966	-1.037308288338117	-1.7517676550319712
CRB2	CRB2_-_126131454.23-P2	1	1150.0	1024.0	1.0	1.0	743.9300566688223	419.64848993826627	243.05723310464856	135.86929805967284	-1.5915832242257821	-2.074459514958286	-1.9548014885670884	-1.7562581603618894
CRB2	CRB2_+_126131139.23-P2	1	1228.0	3.0	1.0	3.0	313.85605859434463	177.04516690300377	102.54322232477277	57.32178985204363	-2.822619420930722	-1.6780256812911782	-1.761536420901436	-1.2678625077605827
DCLK2	DCLK2_-_150999622.23-P1P2	1	1941.0	957.0	3.0	1889.0	0.0	0.0	inf	1.7591107069956017e-240	0.0	0.0	0.0	0.0
DCLK2	DCLK2_-_150999968.23-P1P2	1	601.0	1485.0	2.0	3.0	0.0	0.0	inf	0.0	0.0	0.0	0.0	0.0
DCLK2	DCLK2_+_151000068.23-P1P2	1	1930.0	59.0	4930.0	4.0	inf	inf	inf	inf	0.0	0.0	0.0	0.0
DCLK2	DCLK2_-_150999592.23-P1P2	1	985.0	6.0	2174.0	2.0	inf	inf	inf	inf	0.0	0.0	0.0	0.0
DCLK2	DCLK2_-_150999587.23-P1P2	1	2117.0	2972.0	2708.0	1.0	0.0	0.0	inf	0.0	0.0	0.0	0.0	0.0
SDSL	SDSL_-_113860565.23-P1P2	1	1876.0	2749.0	1492.0	3770.0	22412.759385519563	1161.2891637587559	2800.2287045614403	3708.285601104756	-1.0906247740285346	-2.0357069446545157	-0.9217215186126032	-1.2734483753603671
SDSL	SDSL_-_113860660.23-P1P2	1	1843.0	901.0	712.0	6224.0	15636.622123214001	810.1920659180764	1953.6246009981992	2587.1451021284533	-0.9787332637416022	-1.3352263698961253	-0.7712081138160839	-2.0551745232303458
SDSL	SDSL_+_113860559.23-P1P2	1	625.0	3.0	1137.0	1.0	2447.630653764415	126.82092848133627	305.804631055995	404.9708183652455	-0.7348959802182395	-1.4510131115924634	-2.6871106568147303	-2.1032261634229625
SDSL	SDSL_-_113860273.23-P1P2	1	765.0	1191.0	1674.0	6128.0	18545.96579553688	960.936078389004	2317.1152146500003	3068.5082874090017	-1.3237720834847608	-1.4144704964432118	-1.069903956854164	-1.8434871247767646
SDSL	SDSL_-_113860507.23-P1P2	1	266.0	2.0	1.0	1.0	82.19375575237196	4.25876690335293	10.26920916940761	13.59930366959482	-2.662561423349004	-0.8175349096646316	-1.1872889842512726	-1.3253056267785177
NTRK1	NTRK1_-_156830714.23-P1P2	1	2104.0	4572.0	2425.0	6.0	41074.88611594646	36968.15382782361	656.2160908086147	48.0960150528913	-1.2543760387359895	-0.9646753685077843	-2.6740327777549044	-0.9284911259983899
NTRK1	NTRK1_+_156830696.23-P1P2	1	1652.0	3330.0	4.0	3.0	2028.9992488587482	1826.1366845087437	32.415475275603775	2.3758259034473506	-1.1334848222309255	-1.7494130837349888	-0.9199648465284909	-1.5379370716089156
NTRK1	NTRK1_+_156831077.23-P1P2	1	1629.0	3305.0	2.0	1.0	1603.2796280303157	1442.9811868676136	25.61414015876452	1.8773359688951932	-1.270824277662341	-1.9967173759730759	-1.0253083887925456	-1.1443621662940657
NTRK1	NTRK1_+_156831139.23-P1P2	1	582.0	1.0	1.0	1.0	305.922232750329	275.3356425077167	4.887441223821839	0.3582149995459558	-1.7828388350265023	-2.3668679839591267	-0.7368345229173862	-2.5380004483346776
NTRK1	NTRK1_+_156830848.23-P1P2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AURKAIP1	AURKAIP1_-_1310201.23-P1P2	1	903.0	2138.0	3.0	3.0	3.2537020633065567e+286	0.33482000767924486	1.0688542103953251e-85	2.5069759916958155e-92	0.0	-inf	0.0	0.0
AURKAIP1	AURKAIP1_-_1310542.23-P1P2	1	3389.0	830.0	799.0	3.0	inf	2.7567277975796095e+263	8.800370484966842e+178	2.064109146904178e+172	0.0	0.0	0.0	0.0
AURKAIP1	AURKAIP1_+_1310564.23-P1P2	1	285.0	3.0	3432.0	3.0	3.1446472578183495e+274	3.235977967636231e-13	1.0330292683010708e-97	2.4229493126027235e-104	0.0	-inf	0.0	0.0
AURKAIP1	AURKAIP1_+_1310516.23-P1P2	1	1288.0	4.0	3.0	1.0	inf	3.8086701509988884e+241	1.2158512136473234e+157	2.851754497894235e+150	0.0	0.0	0.0	-128.2925878687023
AURKAIP1	AURKAIP1_+_1310184.23-P1P2	1	1395.0	1768.0	5.0	3200.0	1.5237957766568612e+268	1.5680517260494525e-19	5.005730395631638e-104	1.1740839677385995e-110	0.0	0.0	0.0	0.0
