Gene	sgRNA	eff	T0_mu	D7_mu	PSU_mu	T0_k	D7_k	PSU_k	loglikelihood
CRB2	CRB2_+_126118497.23-P1	1	1525.0	1617.0	1.0	1357.5971031899076	862.6605573535245	494.87692240316125	-1.3705682649701585	-1.7878628225763182	-1.9831760135120753
CRB2	CRB2_-_126131078.23-P2	1	979.0	2.0	1121.0	1352.318675585927	859.3064758752267	492.9528080973425	-1.1083680929564699	-2.0087118386172333	-1.9879085152008027
CRB2	CRB2_-_126118542.23-P1	1	3100.0	5878.0	2190.0	6119.3743780803225	3888.4459161306886	2230.6597090856712	-0.9414168963658831	-1.5950515349421108	-1.2827593839240947
CRB2	CRB2_-_126131448.23-P2	1	541.0	2.0	1569.0	1615.9276422441949	1026.8120322486757	589.0446411096531	-0.785552833316965	-2.0621212889958738	-2.173329776150192
CRB2	CRB2_-_126118533.23-P1	1	2397.0	5857.0	2955.0	6573.548146923312	4177.04243393766	2396.2170135563038	-0.8149448557256354	-1.5340652114081257	-1.4367406705669967
CRB2	CRB2_+_126118537.23-P1	1	1097.0	1964.0	3.0	1398.765698056927	888.8203973458145	509.883869220875	-1.1509109808289322	-1.9562967601894885	-1.7541661332225984
CRB2	CRB2_+_126118494.23-P1	1	1301.0	8.0	1193.0	1528.6626013223374	971.3610382370913	557.2344267365352	-1.196740843638443	-1.6882454923056203	-1.9225260540069298
CRB2	CRB2_-_126131081.23-P2	1	2000.0	4087.0	1372.0	4065.188072278117	2583.150332258613	1481.8592036415228	-0.9291562843669023	-1.6335777961929205	-1.2466707304876585
CRB2	CRB2_-_126131454.23-P2	1	1150.0	1024.0	1.0	921.5359556232145	585.5733775737367	335.92210570508155	-1.444861497364559	-1.7223975792852828	-1.867151451191857
CRB2	CRB2_+_126131139.23-P2	1	1228.0	3.0	1.0	412.0532903931082	261.83182058554274	150.20337310436403	-2.320828520861815	-1.5660967995492545	-1.6356888779379548
DCLK2	DCLK2_-_150999622.23-P1P2	1	1941.0	957.0	3.0	1198.9797813455461	694.4884660736885	966.2982708185837	-1.6531233702901538	-1.5201104584568303	-1.9498102902068133
DCLK2	DCLK2_-_150999968.23-P1P2	1	601.0	1485.0	2.0	1055.685458496195	611.4876882281835	850.8125399148844	-0.9917864162821883	-2.062375672178825	-2.007099503321239
DCLK2	DCLK2_+_151000068.23-P1P2	1	1930.0	59.0	4930.0	2716.3133944939445	1573.3779268574992	2189.168638986746	-1.0990165123631073	-1.2492161274823612	-1.9769426798430068
DCLK2	DCLK2_-_150999592.23-P1P2	1	985.0	6.0	2174.0	1230.9687850073697	713.017547572789	992.0792884842358	-1.1623085024236581	-1.673286990458321	-1.9473092530695928
DCLK2	DCLK2_-_150999587.23-P1P2	1	2117.0	2972.0	2708.0	3535.9909605886664	2048.1620928701186	2849.7744532543084	-1.0153257756520677	-1.561510615648124	-1.262440342054024
SDSL	SDSL_-_113860565.23-P1P2	1	1876.0	2749.0	1492.0	5717.410794989407	1388.7933423867912	2154.250190719167	-0.7788321738539661	-1.8415306316844164	-1.0859194293246535
